"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Grid_Velocity_x","Grid_Velocity_y"
173, 2.172612144045836e-03, 1.407946942538675e-01, 5.273502171539284e-04, -2.336751759715463e-07, -1.207590713522524e-05, 1.096356761977821e+02, 0.000000000000000e+00, 0.000000000000000e+00
174, 2.172612144045836e-03, 1.217053600434902e-01, 5.274570463661881e-04, -1.618523784362373e-08, -1.410644917591735e-05, 1.096350611826386e+02, 0.000000000000000e+00, 0.000000000000000e+00
175, 2.172612144045836e-03, 1.047849238838549e-01, 5.275349260634118e-04, 6.088381634161855e-08, -1.364596620793629e-05, 1.096346492161238e+02, 0.000000000000000e+00, 0.000000000000000e+00
176, 2.172612144045836e-03, 8.986785740023751e-02, 5.276167878703001e-04, 1.637488650396015e-07, -1.189181288417421e-05, 1.096344069311816e+02, 0.000000000000000e+00, 0.000000000000000e+00
177, 2.172612144045835e-03, 7.677953926562983e-02, 5.276823646134353e-04, 1.781954299391549e-07, -9.664241619239999e-06, 1.096342792353302e+02, 0.000000000000000e+00, 0.000000000000000e+00
178, 2.172612144045835e-03, 6.534374789156031e-02, 5.277382598819768e-04, 2.123352923186915e-07, -7.442954601191357e-06, 1.096342202722208e+02, 0.000000000000000e+00, 0.000000000000000e+00
179, 2.172612144045835e-03, 5.538832543734795e-02, 5.277840481200667e-04, 1.875848588368039e-07, -5.477479537422852e-06, 1.096342078258282e+02, 0.000000000000000e+00, 0.000000000000000e+00
180, 2.172612144045835e-03, 4.674920336027921e-02, 5.278217224218713e-04, 1.844906712933454e-07, -3.851917360014183e-06, 1.096342094041212e+02, 0.000000000000000e+00, 0.000000000000000e+00
181, 2.172612144045835e-03, 3.927304219478223e-02, 5.278525779754447e-04, 1.473628134565393e-07, -2.575767221350580e-06, 1.096342306013335e+02, 0.000000000000000e+00, 0.000000000000000e+00
182, 2.172612144045836e-03, 3.281875495761466e-02, 5.278773949739673e-04, 1.319618647930966e-07, -1.621834594935692e-06, 1.096342499051289e+02, 0.000000000000000e+00, 0.000000000000000e+00
